authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Annette Broocks; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;7;Spain;Sevilla
Chris Brooks; School of Accounting and FinanceUniversity of Bristol; Bristol, United Kingdom;NA;NA;NA;22;United Kingdom;Bristol
Yannick Bineau; Lille Économie et Management (LEM); Lille, France;NA;NA;NA;0;France;Lille
Will Bartlett;(50%) European InstituteLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;2;United Kingdom;London
Marie-Estelle Binet; Laboratoire d'Économie Appliquée de Grenoble; Grenoble, France;NA;NA;NA;18;France;Grenoble
Peter Brooks;(34%) School of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;2;United Kingdom;Manchester
Amy Binner;(50%) Department of EconomicsBusiness SchoolUniversity of Exeter; Exeter, United Kingdom;NA;NA;NA;0;United Kingdom;Exeter
John Broome; Oxford University; United Kingdom, Oxford;NA;NA;NA;0;United Kingdom;Oxford
Catherine Bros; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;1;NA;1;11;France;Créteil
Olivier Brossard; LEREPS; France, Toulouse;NA;NA;1;38;France;Toulouse
Yuri Biondi;(50%) Centre National de la Recherche Scientifique (The National Center for Scientific Research); France;NA;NA;NA;19;France;
Sohnke M Bartram;(90%) Finance GroupWarwick Business SchoolUniversity of Warwick; Coventry, United Kingdom;NA;1;NA;71;United Kingdom;Coventry
Luiz Brotherhood; Departament de Teoria EconómicaFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;31;Spain;Barcelona
Fabian Bartsch; IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;0;France;Lille
Guillaume Biot-Paquerot;(64%) Centre de Recherche sur les Entreprises (CEREN)Burgundy School of Business; Dijon, France;NA;NA;NA;6;France;Dijon
Carmen Broto; Banco de España; Madrid, Spain;NA;NA;NA;43;Spain;Madrid
Omer Biran; Centre de Recherches en Mathématiques de la Décision (CEREMADE)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;8;France;Paris
Cagatay Bircan; European Bank for Reconstruction and Development (EBRD); London, United Kingdom;NA;NA;3;42;United Kingdom;London
Eric Brouillat; Bordeaux Sciences Économiques (BSE)Université de Bordeaux; Bordeaux, France;NA;3;NA;18;France;Bordeaux
Shubhasish Barua;(50%) Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;0;United Kingdom;Coventry
Sarah Birch; Department of Political EconomyKing's College London; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Eric Brousseau; Dauphine Recherches en Management (DRM)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;5;France;Paris
Damien Broussolle;(50%) Laboratoire de Recherche en Gestion (LaRGE)Institut de Finance de StrasbourgUniversité de Strasbourg; Strasbourg, France;NA;NA;NA;7;France;Strasbourg
Caitlin Brown; School of EconomicsUniversity of Manchester; Manchester, United Kingdom;2;NA;3;10;United Kingdom;Manchester
Daniel Birke; Aston Business SchoolAston University; Birmingham, United Kingdom;NA;NA;NA;3;United Kingdom;Birmingham
Samira Barzin; EconomicsImperial College; London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Javier Bas; Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;0;Spain;Alcalá de Henares
Maria Bas; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;2;35;France;Paris
Heather Wendy Brown; Health Economics GroupNewcastle University; Newcastle upon Tyne, United Kingdom;NA;NA;NA;5;United Kingdom;Newcastle upon Tyne
Suleyman Basak;(90%) London Business School (LBS); London, United Kingdom;NA;NA;NA;38;United Kingdom;London
Laurent Bironneau; Centre de Recherche en Économie et Management (CREM); Rennes/Caen, France;NA;1;NA;3;France;Rennes
Sidika Basci;(60%) ÉCOLE D'INGÉNIEURS - MATHÉMATIQUES - INFORMATIQUE (EISTI) (GRADUATE SCHOOL IN COMPUTER SCIENCE AND MATHEMATICS ENGINEERING); France, Paris;NA;NA;NA;0;France;Paris
Sergi Basco; Departament d'Economia AplicadaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;NA;NA;27;Spain;Barcelona
Joanna Maria Bashford Fernandez; Oviedo Efficiency GroupFacultad de Economía y EmpresaUniversidad de Oviedo; Oviedo, Spain;NA;NA;NA;0;Spain;Oviedo
Sarah Brown;(95%) Department of EconomicsUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;147;United Kingdom;Sheffield
Christophe Bisiere;(50%) Institut d'Économie Industrielle (IDEI)Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;25;France;Toulouse
Francis Bismans; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;0;France;Nancy
James Martin Browne; Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;31;France;Paris
Martin James Browning; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;2;79;United Kingdom;Oxford
Christian T Brownlees; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;61;Spain;Barcelona
Rakesh Bissoondeeal; Aston Business SchoolAston University; Birmingham, United Kingdom;NA;NA;NA;2;United Kingdom;Birmingham
Graham Brownlow; Centre for Economic HistoryManagement SchoolQueen's University; Belfast, United Kingdom;NA;NA;NA;3;United Kingdom;Belfast
Geraldine Broye; Laboratoire de Recherche en Gestion (LaRGE)Institut de Finance de StrasbourgUniversité de Strasbourg; Strasbourg, France;NA;NA;NA;4;France;Strasbourg
Laurence Broze; Université de Lille, département de mathématiques (University of Lille, Department of Mathematics); Lille, France;NA;NA;NA;0;France;Lille
Angathevar Baskaran; Business SchoolMiddlesex University; Hendon, United Kingdom;NA;NA;NA;0;United Kingdom;Hendon
Lluis Bru; Departament d'Economía de l'EmpresaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;NA;NA;NA;29;Spain;Palma de Mallorca
Yusuf Soner Baskaya; Adam Smith Business SchoolUniversity of Glasgow; Glasgow, United Kingdom;NA;NA;NA;90;United Kingdom;Glasgow
Arlan Zandro Brucal;(95%) Business SchoolUniversity of Exeter; Exeter, United Kingdom;NA;2;NA;24;United Kingdom;Exeter
Sami Basly; Centre d'Études et de Recherche sur les Organisations et sur les Stratégies (CEROS)Université Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;2;France;Nanterre
Abdelfeteh Bitat; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Nathalie Bitbol-Saba; Paris School of Business (PSB)Groupe Paris Graduate School of Management; Paris, France;NA;NA;NA;0;France;Paris
Andrea Bassanini;(90%) Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;5;108;France;Paris
Federico Bassi; Centre Lillois d'Études et de Recherches Économiques et Sociologiques (CLERSE)Faculté des sciences économiques, sociales et des territoiresUniversité de Lille; Lille, France;NA;NA;NA;32;France;Lille
Antonio Biurrun; Instituto Complutense de Estudios Internacionales (ICEI)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Tobias Bruenner;(50%) Lincoln Business SchoolUniversity of Lincoln; Lincoln, United Kingdom;NA;NA;NA;16;United Kingdom;Lincoln
Jean-Pascal Bassino; IAO, ENS Lyon, University of Lyon; Lyon, France;NA;NA;NA;18;France;Lyon
Henrique S Basso; Banco de España; Madrid, Spain;NA;NA;NA;65;Spain;Madrid
Francesca Bastagli; Overseas Development Institute; London, United Kingdom;NA;NA;NA;6;United Kingdom;London
Houtan Bastani; Centre pour la Recherche Économique et ses Applications (CEPREMAP); Paris, France;NA;NA;NA;0;France;Paris
Franck Brulhart; Faculté des sciences économiquesUniversité d'Aix-Marseille AMU; Aix-en-Provence, France;NA;NA;NA;0;France;Aix-en-Provence
Julie Bastianutti; IAE Lille University School of ManagementUniversité de Lille; Lille, France;NA;NA;NA;0;France;Lille
Francisco Bastida; Facultad de Economía y EmpresaUniversidad de Murcia; Murcia, Spain;NA;NA;NA;0;Spain;Murcia
Cecile Bastidon;(50%) Laboratoire d'Économie Appliquée au Développement (LEAD)Faculté de Sciences Économiques et de GestionUniversité de Toulon et du Var; La Garde, France;NA;NA;NA;7;France;La Garde
Jean Francois Brun; Centre d'Études et de Recherches sur le Développement International (CERDI)École d'ÉconomieUniversité Clermont Auvergne; Clermont-Ferrand, France;5;NA;2;40;France;Clermont-Ferrand
Martin Brun;(95%) Departament d'Economia AplicadaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;NA;NA;4;Spain;Barcelona
Fernando Bruna; Departamento de EconomíaFacultade de Economía e EmpresaUniversidade da Coruña; A Coruña, Spain;NA;NA;NA;7;Spain;A Coruña
Rafael Rabelo Bastos; Facultad de Economía y EmpresaUniversidad de Salamanca; Salamanca, Spain;NA;NA;NA;0;Spain;Salamanca
Guillaume Blache;(47%) Maison des Sciences ÉconomiquesUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;0;France;Paris
Julien Brunel;" Laboratoire Aménagement Eacute;conomie Transports (LAET)Université de Lyon"; Lyon, France;NA;NA;NA;0;France;Lyon
Carole Brunet;(50%) Laboratoire d'Économie Dionysien (LED)Université Paris-Saint-Denis (Paris VIII); Saint-Denis, France;NA;NA;NA;14;France;Saint-Denis
Parantap Basu; Business SchoolDurham University; Durham, United Kingdom;NA;3;4;71;United Kingdom;Durham
Marielle Brunette; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;9;NA;53;France;Nancy
Keith Blackburn; Macroeconomics Growth and Development Research GroupSchool of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;6;53;United Kingdom;Manchester
Charles Blackorby; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;29;United Kingdom;Coventry
Robin Bladen-Hovell; Centre for Economic ResearchKeele Management SchoolUniversity of Keele; Staffordshire, United Kingdom;NA;NA;NA;0;United Kingdom;Staffordshire
Christa Noel Brunnschweiler;(99%) School of EconomicsUniversity of East Anglia; Norwich, United Kingdom;1;4;2;53;United Kingdom;Norwich
Olivier Bruno;(50%) Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;3;35;France;Nice
Marie Blaise; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;2;France;Nancy
Randolph Luca Bruno;(90%) Centre for Comparative EconomicsSchool of Slavonic and East European StudiesUniversity College London (UCL); London, United Kingdom;NA;NA;2;76;United Kingdom;London
Roy Batchelor;"Bayes Business School
City University"; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Adam Blake; Bournemouth University; Bournemouth, United Kingdom;NA;NA;NA;4;United Kingdom;Bournemouth
Andrew Peter Blake; Bank of England; London, United Kingdom;NA;NA;NA;48;United Kingdom;London
David Blake; Faculty of FinanceBayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;23;United Kingdom;London
Ian J Bateman; Department of EconomicsBusiness SchoolUniversity of Exeter; Exeter, United Kingdom;NA;2;NA;19;United Kingdom;Exeter
Victoria Bateman; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;2;United Kingdom;Cambridge
Isabel Brusca; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;0;Spain;Zaragoza
Samuel Bates; Groupe de Recherche Angevin en Economie et Management (GRANEM)Faculté de Droit, Économie et GestionUniversité d'Angers; Angers, France;NA;NA;NA;2;France;Angers
Jerome Blanc;(50%) Sciences Po Lyon (Sciences Po Lyon); France, Lyon;NA;1;NA;37;France;Lyon
Stephane Blancard; Centre d'Économie et Sociologie appliquées à l'Agriculture et aux Espaces Ruraux (CESAER)Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Dijon, France;NA;1;NA;13;France;Dijon
Blanca Blanca Simon-Fernandez; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;0;Spain;Zaragoza
Philippe Batifoulier; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;21;France;Paris
Xavier Brusset; SKEMA Business School; Lille, France;NA;NA;NA;8;France;Lille
Michail Batikas; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;19;Spain;Sevilla
Michel Blanchard;" Équipe Universitaire de Recherche ""Institutions: Coordination, Organisation"" (EURIsCO)Laboratoire d'Économie de Dauphine (LEDa)Université Paris-Dauphine (Paris IX)"; Paris, France;NA;NA;NA;2;France;Paris
Zelda Brutti;(50%) Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;5;Spain;Barcelona
Adrien Blanchet; Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ)Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;22;France;Toulouse
Didier Blanchet; Institut National de la Statistique et des Études Économiques (INSEE)Government of France; Paris, France;NA;NA;NA;39;France;Paris
Thomas Blanchet; Paris School of Economics; Paris, France;NA;NA;NA;11;France;Paris
Bertrand Blancheton; Bordeaux Sciences Économiques (BSE)Université de Bordeaux; Bordeaux, France;1;NA;1;28;France;Bordeaux
Filipe Batista e Silva; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;2;NA;20;Spain;Sevilla
Bernardo Batiz-Lazo; Newcastle Business SchoolUniversity of Northumbria; Newcastle upon Tyne, United Kingdom;NA;NA;NA;173;United Kingdom;Newcastle upon Tyne
Maria Blanco;(95%) Departamento de Economía y Ciencias Sociales AgrariasUniversidad Politécnica de Madrid; Madrid, Spain;1;10;1;29;Spain;Madrid
Mark L Bryan; Department of EconomicsUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;65;United Kingdom;Sheffield
Roberto Blanco; Banco de España; Madrid, Spain;NA;NA;NA;17;Spain;Madrid
Carmen Blanco-Arana; Departamento de Economía Aplicada (Política Económica)Facultad de Ciencias Económicas y EmpresarialesUniversidad de Málaga; Málaga, Spain;NA;NA;NA;4;Spain;Málaga
John Bryant; Vocat International; United Kingdom, Harpenden;NA;14;NA;63;United Kingdom;Harpenden
Svetlana Batrakova; HM Revenue and CustomsGovernment of the United Kingdom; London, United Kingdom;NA;2;NA;7;United Kingdom;London
Omar Blanco-Arroyo; Departament d'EconomiaUniversitat Jaume I; Castellón de la Plana, Spain;NA;NA;NA;5;Spain;Castellón de la Plana
Cristina Blanco-Perez; Departament d'Economía de l'EmpresaFacultat de Ciències Econòmiques i EmpresarialsUniversitat de les Illes Balears; Palma de Mallorca, Spain;NA;NA;NA;3;Spain;Palma de Mallorca
Joanne Blanden;(78%) School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;36;United Kingdom;Guildford
Mongoljin Batsaikhan; Department of EconomicsBusiness SchoolMiddlesex University; Hendon, United Kingdom;NA;NA;NA;28;United Kingdom;Hendon
Apolline Blandin; Cambridge Centre for Alternative FinanceJudge Business SchoolUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;0;United Kingdom;Cambridge
Alex Bryson;(90%) Social Research InstituteInstitute of EducationUniversity College London (UCL); London, United Kingdom;NA;2;NA;633;United Kingdom;London
Jose Vicente Blanes; Departamento de Economía, Métodos Cuantitativos e Historia EconómicaUniversidad Pablo de Olavide; Sevilla, Spain;NA;NA;1;16;Spain;Sevilla
Janusz J Brzeszczynski; Newcastle Business SchoolUniversity of Northumbria; Newcastle upon Tyne, United Kingdom;NA;NA;NA;9;United Kingdom;Newcastle upon Tyne
Marianna Battaglia; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;1;17;Spain;Alicante
Loic Batte; Toulouse School of Economics (TSE); Toulouse, France;1;NA;1;7;France;Toulouse
Sandra Batten; Bank of England; London, United Kingdom;NA;2;NA;9;United Kingdom;London
Stefano Battilossi;(50%) Instituto Figuerola de Historia y Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;17;Spain;Madrid
Giuliana Battisti; Warwick Business SchoolUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;3;United Kingdom;Coventry
